dataset_name,dataset_file,density,baseline_bp_percent,baseline_bipartivity
8N_Bipartite_Dense,data/raw_data/8N_Bipartite_Dense.pkl,0.3110,25.1592,0.8994
8N_Bipartite_Medium,data/raw_data/8N_Bipartite_Medium.pkl,0.2887,32.1639,0.9160
8N_Bipartite_Sparse,data/raw_data/8N_Bipartite_Sparse.pkl,0.2256,55.8223,0.9551
10N_Bipartite_Dense,data/raw_data/10N_Bipartite_Dense.pkl,0.3470,2.4381,0.8020
10N_Bipartite_Medium,data/raw_data/10N_Bipartite_Medium.pkl,0.2307,26.2587,0.9208
10N_Bipartite_Sparse,data/raw_data/10N_Bipartite_Sparse.pkl,0.1771,51.9432,0.9598
14N_Bipartite_Dense,data/raw_data/14N_Bipartite_Dense.pkl,0.3727,0.0010,0.6438
14N_Bipartite_Medium,data/raw_data/14N_Bipartite_Medium.pkl,0.2084,4.2377,0.8765
14N_Bipartite_Sparse,data/raw_data/14N_Bipartite_Sparse.pkl,0.1042,62.4263,0.9793
18N_Bipartite_Dense,data/raw_data/18N_Bipartite_Dense.pkl,0.3697,0.0000,0.5660
18N_Bipartite_Medium,data/raw_data/18N_Bipartite_Medium.pkl,0.1967,0.2096,0.8274
18N_Bipartite_Sparse,data/raw_data/18N_Bipartite_Sparse.pkl,0.0747,65.0351,0.9855
