bin_idx,bin_left,bin_right,bin_count,bipartite_count,bipartite_percent,mean_density_in_bin,mean_bipartivity_in_bin,dataset_name,nodes,density_category
0,0.000000,0.005714,0,0,NA,NA,NA,8N_Bipartite_Dense,8,Dense
1,0.005714,0.011429,0,0,NA,NA,NA,8N_Bipartite_Dense,8,Dense
2,0.011429,0.017143,0,0,NA,NA,NA,8N_Bipartite_Dense,8,Dense
3,0.017143,0.022857,0,0,NA,NA,NA,8N_Bipartite_Dense,8,Dense
4,0.022857,0.028571,0,0,NA,NA,NA,8N_Bipartite_Dense,8,Dense
5,0.028571,0.034286,0,0,NA,NA,NA,8N_Bipartite_Dense,8,Dense
6,0.034286,0.040000,4,4,100.000000,0.035714,1.000000,8N_Bipartite_Dense,8,Dense
7,0.040000,0.045714,0,0,NA,NA,NA,8N_Bipartite_Dense,8,Dense
8,0.045714,0.051429,0,0,NA,NA,NA,8N_Bipartite_Dense,8,Dense
9,0.051429,0.057143,0,0,NA,NA,NA,8N_Bipartite_Dense,8,Dense
10,0.057143,0.062857,0,0,NA,NA,NA,8N_Bipartite_Dense,8,Dense
11,0.062857,0.068571,0,0,NA,NA,NA,8N_Bipartite_Dense,8,Dense
12,0.068571,0.074286,20,20,100.000000,0.071429,1.000000,8N_Bipartite_Dense,8,Dense
13,0.074286,0.080000,0,0,NA,NA,NA,8N_Bipartite_Dense,8,Dense
14,0.080000,0.085714,0,0,NA,NA,NA,8N_Bipartite_Dense,8,Dense
15,0.085714,0.091429,0,0,NA,NA,NA,8N_Bipartite_Dense,8,Dense
16,0.091429,0.097143,0,0,NA,NA,NA,8N_Bipartite_Dense,8,Dense
17,0.097143,0.102857,0,0,NA,NA,NA,8N_Bipartite_Dense,8,Dense
18,0.102857,0.108571,101,98,97.029703,0.107143,0.997111,8N_Bipartite_Dense,8,Dense
19,0.108571,0.114286,0,0,NA,NA,NA,8N_Bipartite_Dense,8,Dense
20,0.114286,0.120000,0,0,NA,NA,NA,8N_Bipartite_Dense,8,Dense
21,0.120000,0.125714,0,0,NA,NA,NA,8N_Bipartite_Dense,8,Dense
22,0.125714,0.131429,0,0,NA,NA,NA,8N_Bipartite_Dense,8,Dense
23,0.131429,0.137143,0,0,NA,NA,NA,8N_Bipartite_Dense,8,Dense
24,0.137143,0.142857,0,0,NA,NA,NA,8N_Bipartite_Dense,8,Dense
25,0.142857,0.148571,244,225,92.213115,0.142857,0.992819,8N_Bipartite_Dense,8,Dense
26,0.148571,0.154286,0,0,NA,NA,NA,8N_Bipartite_Dense,8,Dense
27,0.154286,0.160000,0,0,NA,NA,NA,8N_Bipartite_Dense,8,Dense
28,0.160000,0.165714,0,0,NA,NA,NA,8N_Bipartite_Dense,8,Dense
29,0.165714,0.171429,0,0,NA,NA,NA,8N_Bipartite_Dense,8,Dense
30,0.171429,0.177143,0,0,NA,NA,NA,8N_Bipartite_Dense,8,Dense
31,0.177143,0.182857,527,440,83.491461,0.178571,0.985910,8N_Bipartite_Dense,8,Dense
32,0.182857,0.188571,0,0,NA,NA,NA,8N_Bipartite_Dense,8,Dense
33,0.188571,0.194286,0,0,NA,NA,NA,8N_Bipartite_Dense,8,Dense
34,0.194286,0.200000,0,0,NA,NA,NA,8N_Bipartite_Dense,8,Dense
35,0.200000,0.205714,0,0,NA,NA,NA,8N_Bipartite_Dense,8,Dense
36,0.205714,0.211429,0,0,NA,NA,NA,8N_Bipartite_Dense,8,Dense
37,0.211429,0.217143,940,613,65.212766,0.214286,0.971259,8N_Bipartite_Dense,8,Dense
38,0.217143,0.222857,0,0,NA,NA,NA,8N_Bipartite_Dense,8,Dense
39,0.222857,0.228571,0,0,NA,NA,NA,8N_Bipartite_Dense,8,Dense
40,0.228571,0.234286,0,0,NA,NA,NA,8N_Bipartite_Dense,8,Dense
41,0.234286,0.240000,0,0,NA,NA,NA,8N_Bipartite_Dense,8,Dense
42,0.240000,0.245714,0,0,NA,NA,NA,8N_Bipartite_Dense,8,Dense
43,0.245714,0.251429,1335,555,41.573034,0.250000,0.951853,8N_Bipartite_Dense,8,Dense
44,0.251429,0.257143,0,0,NA,NA,NA,8N_Bipartite_Dense,8,Dense
45,0.257143,0.262857,0,0,NA,NA,NA,8N_Bipartite_Dense,8,Dense
46,0.262857,0.268571,0,0,NA,NA,NA,8N_Bipartite_Dense,8,Dense
47,0.268571,0.274286,0,0,NA,NA,NA,8N_Bipartite_Dense,8,Dense
48,0.274286,0.280000,0,0,NA,NA,NA,8N_Bipartite_Dense,8,Dense
49,0.280000,0.285714,0,0,NA,NA,NA,8N_Bipartite_Dense,8,Dense
50,0.285714,0.291429,1623,360,22.181146,0.285714,0.930384,8N_Bipartite_Dense,8,Dense
51,0.291429,0.297143,0,0,NA,NA,NA,8N_Bipartite_Dense,8,Dense
52,0.297143,0.302857,0,0,NA,NA,NA,8N_Bipartite_Dense,8,Dense
53,0.302857,0.308571,0,0,NA,NA,NA,8N_Bipartite_Dense,8,Dense
54,0.308571,0.314286,0,0,NA,NA,NA,8N_Bipartite_Dense,8,Dense
55,0.314286,0.320000,0,0,NA,NA,NA,8N_Bipartite_Dense,8,Dense
56,0.320000,0.325714,1548,133,8.591731,0.321429,0.900936,8N_Bipartite_Dense,8,Dense
57,0.325714,0.331429,0,0,NA,NA,NA,8N_Bipartite_Dense,8,Dense
58,0.331429,0.337143,0,0,NA,NA,NA,8N_Bipartite_Dense,8,Dense
59,0.337143,0.342857,0,0,NA,NA,NA,8N_Bipartite_Dense,8,Dense
60,0.342857,0.348571,0,0,NA,NA,NA,8N_Bipartite_Dense,8,Dense
61,0.348571,0.354286,0,0,NA,NA,NA,8N_Bipartite_Dense,8,Dense
62,0.354286,0.360000,1310,41,3.129771,0.357143,0.871598,8N_Bipartite_Dense,8,Dense
63,0.360000,0.365714,0,0,NA,NA,NA,8N_Bipartite_Dense,8,Dense
64,0.365714,0.371429,0,0,NA,NA,NA,8N_Bipartite_Dense,8,Dense
65,0.371429,0.377143,0,0,NA,NA,NA,8N_Bipartite_Dense,8,Dense
66,0.377143,0.382857,0,0,NA,NA,NA,8N_Bipartite_Dense,8,Dense
67,0.382857,0.388571,0,0,NA,NA,NA,8N_Bipartite_Dense,8,Dense
68,0.388571,0.394286,1046,6,0.573614,0.392857,0.834697,8N_Bipartite_Dense,8,Dense
69,0.394286,0.400000,0,0,NA,NA,NA,8N_Bipartite_Dense,8,Dense
70,0.400000,0.405714,0,0,NA,NA,NA,8N_Bipartite_Dense,8,Dense
71,0.405714,0.411429,0,0,NA,NA,NA,8N_Bipartite_Dense,8,Dense
72,0.411429,0.417143,0,0,NA,NA,NA,8N_Bipartite_Dense,8,Dense
73,0.417143,0.422857,0,0,NA,NA,NA,8N_Bipartite_Dense,8,Dense
74,0.422857,0.428571,0,0,NA,NA,NA,8N_Bipartite_Dense,8,Dense
75,0.428571,0.434286,659,0,0.000000,0.428571,0.798242,8N_Bipartite_Dense,8,Dense
76,0.434286,0.440000,0,0,NA,NA,NA,8N_Bipartite_Dense,8,Dense
77,0.440000,0.445714,0,0,NA,NA,NA,8N_Bipartite_Dense,8,Dense
78,0.445714,0.451429,0,0,NA,NA,NA,8N_Bipartite_Dense,8,Dense
79,0.451429,0.457143,0,0,NA,NA,NA,8N_Bipartite_Dense,8,Dense
80,0.457143,0.462857,0,0,NA,NA,NA,8N_Bipartite_Dense,8,Dense
