dataset_name,density,ref_density,ref_bipartite_percent,ref_bipartivity,gen_density,gen_bipartite_percent,gen_bipartivity,path,num_samples,mmd,memorized,diversity
14N_ER_Dense,Dense,0.8145,0.0000,1.0000,0.7432,0.0000,0.5023,results/evaluation_results/14N_ER/run_20250607/Dense/samplesER14ND.npy,512,0.03417533530645567,0.0000,1.0000
14N_ER_Medium,Medium,0.4487,0.0000,1.0000,0.4400,0.0000,0.5796,results/evaluation_results/14N_ER/run_20250607/Medium/samplesER14NM.npy,512,0.002219589244652931,0.0000,1.0000
14N_ER_Sparse,Sparse,0.1575,27.9000,1.0000,0.0751,82.4219,0.9897,results/evaluation_results/14N_ER/run_20250607/Sparse/samplesER14NS.npy,512,0.057090711949802087,0.4258,0.4043
14N_ER_Dense,Dense,0.8145,0.0000,1.0000,0.7477,0.0000,0.5022,results/evaluation_results/14N_ER/run_20250606/Dense/samplesER14ND.npy,512,0.034838184119188154,0.0000,1.0000
14N_ER_Medium,Medium,0.4487,0.0000,1.0000,0.4463,0.0000,0.5746,results/evaluation_results/14N_ER/run_20250606/Medium/samplesER14NM.npy,512,0.0015105295686814735,0.0000,1.0000
14N_ER_Sparse,Sparse,0.1575,27.9000,1.0000,0.0752,78.3203,0.9882,results/evaluation_results/14N_ER/run_20250606/Sparse/samplesER14NS.npy,512,0.05708291886588934,0.4062,0.4219
14N_ER_Dense,Dense,0.8145,0.0000,1.0000,0.7463,0.0000,0.5022,results/evaluation_results/14N_ER/run_202506072/Dense/samplesER14ND.npy,512,0.03319107671573618,0.0000,1.0000
14N_ER_Medium,Medium,0.4487,0.0000,1.0000,0.4431,0.0000,0.5774,results/evaluation_results/14N_ER/run_202506072/Medium/samplesER14NM.npy,512,0.0016106461226925717,0.0000,1.0000
14N_ER_Sparse,Sparse,0.1575,27.9000,1.0000,0.0728,86.7188,0.9936,results/evaluation_results/14N_ER/run_202506072/Sparse/samplesER14NS.npy,512,0.057212192437292364,0.4609,0.3711
14N_ER_Dense,Dense,0.8145,0.0000,1.0000,0.7389,0.0000,0.5024,results/evaluation_results/14N_ER/run_old_2/Dense/samplesER14ND.npy,512,0.034866205153741725,0.0000,1.0000
14N_ER_Medium,Medium,0.4487,0.0000,1.0000,0.4433,0.0000,0.5774,results/evaluation_results/14N_ER/run_old_2/Medium/samplesER14NM.npy,512,0.000923322844287533,0.0000,1.0000
