dataset_name,nodes,density_category,run_path,num_samples,bin_idx,bin_left,bin_right,bin_count,bipartite_count,bipartite_percent,mean_density_in_bin
8N_Bipartite_Dense,8,Dense,results/evaluation_results/8N_Bipartite/run_old_2/Dense/samples.npy,512,0,0.000000,0.005714,0,0,NA,NA
8N_Bipartite_Dense,8,Dense,results/evaluation_results/8N_Bipartite/run_old_2/Dense/samples.npy,512,1,0.005714,0.011429,0,0,NA,NA
8N_Bipartite_Dense,8,Dense,results/evaluation_results/8N_Bipartite/run_old_2/Dense/samples.npy,512,2,0.011429,0.017143,0,0,NA,NA
8N_Bipartite_Dense,8,Dense,results/evaluation_results/8N_Bipartite/run_old_2/Dense/samples.npy,512,3,0.017143,0.022857,0,0,NA,NA
8N_Bipartite_Dense,8,Dense,results/evaluation_results/8N_Bipartite/run_old_2/Dense/samples.npy,512,4,0.022857,0.028571,0,0,NA,NA
8N_Bipartite_Dense,8,Dense,results/evaluation_results/8N_Bipartite/run_old_2/Dense/samples.npy,512,5,0.028571,0.034286,0,0,NA,NA
8N_Bipartite_Dense,8,Dense,results/evaluation_results/8N_Bipartite/run_old_2/Dense/samples.npy,512,6,0.034286,0.040000,0,0,NA,NA
8N_Bipartite_Dense,8,Dense,results/evaluation_results/8N_Bipartite/run_old_2/Dense/samples.npy,512,7,0.040000,0.045714,0,0,NA,NA
8N_Bipartite_Dense,8,Dense,results/evaluation_results/8N_Bipartite/run_old_2/Dense/samples.npy,512,8,0.045714,0.051429,0,0,NA,NA
8N_Bipartite_Dense,8,Dense,results/evaluation_results/8N_Bipartite/run_old_2/Dense/samples.npy,512,9,0.051429,0.057143,0,0,NA,NA
8N_Bipartite_Dense,8,Dense,results/evaluation_results/8N_Bipartite/run_old_2/Dense/samples.npy,512,10,0.057143,0.062857,0,0,NA,NA
8N_Bipartite_Dense,8,Dense,results/evaluation_results/8N_Bipartite/run_old_2/Dense/samples.npy,512,11,0.062857,0.068571,0,0,NA,NA
8N_Bipartite_Dense,8,Dense,results/evaluation_results/8N_Bipartite/run_old_2/Dense/samples.npy,512,12,0.068571,0.074286,2,2,100.000000,0.071429
8N_Bipartite_Dense,8,Dense,results/evaluation_results/8N_Bipartite/run_old_2/Dense/samples.npy,512,13,0.074286,0.080000,0,0,NA,NA
8N_Bipartite_Dense,8,Dense,results/evaluation_results/8N_Bipartite/run_old_2/Dense/samples.npy,512,14,0.080000,0.085714,0,0,NA,NA
8N_Bipartite_Dense,8,Dense,results/evaluation_results/8N_Bipartite/run_old_2/Dense/samples.npy,512,15,0.085714,0.091429,0,0,NA,NA
8N_Bipartite_Dense,8,Dense,results/evaluation_results/8N_Bipartite/run_old_2/Dense/samples.npy,512,16,0.091429,0.097143,0,0,NA,NA
8N_Bipartite_Dense,8,Dense,results/evaluation_results/8N_Bipartite/run_old_2/Dense/samples.npy,512,17,0.097143,0.102857,0,0,NA,NA
8N_Bipartite_Dense,8,Dense,results/evaluation_results/8N_Bipartite/run_old_2/Dense/samples.npy,512,18,0.102857,0.108571,7,7,100.000000,0.107143
8N_Bipartite_Dense,8,Dense,results/evaluation_results/8N_Bipartite/run_old_2/Dense/samples.npy,512,19,0.108571,0.114286,0,0,NA,NA
8N_Bipartite_Dense,8,Dense,results/evaluation_results/8N_Bipartite/run_old_2/Dense/samples.npy,512,20,0.114286,0.120000,0,0,NA,NA
8N_Bipartite_Dense,8,Dense,results/evaluation_results/8N_Bipartite/run_old_2/Dense/samples.npy,512,21,0.120000,0.125714,0,0,NA,NA
8N_Bipartite_Dense,8,Dense,results/evaluation_results/8N_Bipartite/run_old_2/Dense/samples.npy,512,22,0.125714,0.131429,0,0,NA,NA
8N_Bipartite_Dense,8,Dense,results/evaluation_results/8N_Bipartite/run_old_2/Dense/samples.npy,512,23,0.131429,0.137143,0,0,NA,NA
8N_Bipartite_Dense,8,Dense,results/evaluation_results/8N_Bipartite/run_old_2/Dense/samples.npy,512,24,0.137143,0.142857,0,0,NA,NA
8N_Bipartite_Dense,8,Dense,results/evaluation_results/8N_Bipartite/run_old_2/Dense/samples.npy,512,25,0.142857,0.148571,17,17,100.000000,0.142857
