run_id,run_type,num_nodes,graph_type,density_category,generated_density,density_value,mmd_density,generated_var_degree_dist,var_degree_dist_value,mmd_var_degree_dist,generated_tri,tri_value,mmd_tri,generated_spectral_ev_1,spectral_ev_1_value,mmd_spectral_ev_1,generated_spectral_ev_2,spectral_ev_2_value,mmd_spectral_ev_2,generated_spectral_ev_3,spectral_ev_3_value,mmd_spectral_ev_3,generated_spectral_ev_4,spectral_ev_4_value,mmd_spectral_ev_4,generated_spectral_ev_5,spectral_ev_5_value,mmd_spectral_ev_5,generated_bipartite,bipartite_value,mmd_samples,memorized_adj_pct,memorized_iso_pct,diversity_adj_pct,diversity_iso_pct
evaluation_results/10N_Bipartite/old_hpo1/Dense,Evaluation,10,Bipartite,Dense,0.3928,0.3470,,1.9887,2.2078,0.0624,7.1875,0.0000,0.9265,1.1018,0.9728,0.5168,1.2712,0.9966,1.3468,1.4267,1.1709,0.5603,1.5756,1.5197,0.0926,1.7445,2.0000,1.2517,0.1953,100.0000,0.0986,0.0000,0.0000,100.0000,100.0000
evaluation_results/10N_Bipartite/old_hpo1/Medium,Evaluation,10,Bipartite,Medium,0.2421,0.2307,,1.3246,1.7150,0.0728,1.1660,0.0000,0.2444,0.9882,0.8872,0.0311,1.2286,0.9740,0.4725,1.5065,1.2548,0.2505,1.7413,1.6730,0.0272,1.9357,1.9900,0.3173,43.1641,100.0000,0.0026,0.0000,14.0625,100.0000,93.1641
evaluation_results/10N_Bipartite/old_hpo1/Sparse,Evaluation,10,Bipartite,Sparse,0.1815,0.1771,,1.1058,1.1461,0.0006,0.4844,0.0000,,0.8481,0.8008,0.0017,1.1451,1.0086,0.1334,1.5138,1.3880,0.0597,1.8029,1.7827,0.0159,1.9671,1.9900,0.0463,65.2344,100.0000,0.0085,0.0000,53.1250,100.0000,83.2031
evaluation_results/10N_Bipartite/old_hpo2/Dense,Evaluation,10,Bipartite,Dense,0.3967,0.3470,,1.9483,2.2078,0.0704,7.4609,0.0000,0.7887,1.1139,0.9728,0.5689,1.2758,0.9966,1.3273,1.4233,1.1709,0.5406,1.5731,1.5197,0.0825,1.7469,2.0000,1.2040,0.3906,100.0000,0.0929,0.0000,0.0000,100.0000,100.0000
evaluation_results/10N_Bipartite/old_hpo2/Medium,Evaluation,10,Bipartite,Medium,0.2446,0.2307,,1.3749,1.7150,0.0540,1.2480,0.0000,0.2901,1.0042,0.8872,0.0583,1.2539,0.9740,0.5789,1.5212,1.2548,0.2941,1.7410,1.6730,0.0370,1.9246,1.9900,0.3445,37.5000,100.0000,0.0062,0.0000,12.5000,100.0000,94.7266
evaluation_results/10N_Bipartite/old_hpo2/Sparse,Evaluation,10,Bipartite,Sparse,0.2013,0.1771,,1.1816,1.1461,-0.0026,0.7285,0.0000,,0.9075,0.8008,0.0115,1.1952,1.0086,0.1950,1.5389,1.3880,0.1192,1.8057,1.7827,0.0328,1.9546,1.9900,0.1681,51.7578,100.0000,0.0072,0.0000,39.6484,100.0000,81.2500
evaluation_results/10N_Bipartite/old_hpo3/Dense,Evaluation,10,Bipartite,Dense,0.4008,0.3470,,1.9959,2.2078,0.0650,7.7988,0.0000,0.8198,1.1082,0.9728,0.5786,1.2683,0.9966,1.3655,1.4172,1.1709,0.5359,1.5754,1.5197,0.0821,1.7422,2.0000,1.2116,0.3906,100.0000,0.0998,0.0000,0.0000,100.0000,100.0000
evaluation_results/10N_Bipartite/old_hpo3/Medium,Evaluation,10,Bipartite,Medium,0.2404,0.2307,,1.3798,1.7150,0.0551,1.1348,0.0000,0.2781,0.9811,0.8872,0.0539,1.2313,0.9740,0.4926,1.5104,1.2548,0.2681,1.7443,1.6730,0.0329,1.9333,1.9900,0.3343,39.2578,100.0000,0.0023,0.0000,14.8438,100.0000,94.1406
evaluation_results/10N_Bipartite/old_hpo3/Sparse,Evaluation,10,Bipartite,Sparse,0.2073,0.1771,,1.2349,1.1461,-0.0011,0.8242,0.0000,0.1942,0.9401,0.8008,0.0197,1.2185,1.0086,0.2555,1.5449,1.3880,0.1479,1.7925,1.7827,0.0479,1.9500,1.9900,0.2363,47.0703,100.0000,0.0106,0.0000,34.9609,100.0000,86.3281
evaluation_results/10N_Bipartite/run_20250704_125454/Dense,Evaluation,10,Bipartite,Dense,0.3688,0.3470,,1.7921,2.2078,0.1249,6.2578,0.0000,0.7489,1.1089,0.9728,0.5187,1.2916,0.9966,1.3787,1.4527,1.1709,0.5986,1.6085,1.5197,0.1086,1.7594,2.0000,1.0933,0.7812,100.0000,0.1171,0.0000,0.0000,100.0000,100.0000
evaluation_results/10N_Bipartite/run_20250704_125454/Medium,Evaluation,10,Bipartite,Medium,0.4114,0.2307,,2.0841,1.7150,0.0330,8.8125,0.0000,0.9080,1.1149,0.8872,0.4844,1.2712,0.9740,1.2855,1.4169,1.2548,0.3670,1.5632,1.6730,0.3115,1.7166,1.9900,1.2722,0.0000,100.0000,0.0958,0.0000,0.0000,100.0000,99.8047
