run_id,run_type,num_nodes,graph_type,density_category,generated_density,density_value,mmd_density,generated_var_degree_dist,var_degree_dist_value,mmd_var_degree_dist,generated_tri,tri_value,mmd_tri,generated_bipartite,bipartite_value,mmd_bipartite,mmd_samples,memorized_adj_pct,memorized_iso_pct,diversity_adj_pct,diversity_iso_pct
evaluation_results/18N_Bipartite/old_hpo1/Dense,Evaluation,18,Bipartite,Dense,0.4213,0.3697,0.1256,4.9925,6.0495,0.1376,61.6465,0.0000,1.0431,0.0000,1.0000,0.7869,0.1114,0.0000,0.0000,100.0000,100.0000
evaluation_results/18N_Bipartite/old_hpo1/Medium,Evaluation,18,Bipartite,Medium,0.2413,0.1967,0.1632,3.4942,3.1782,0.0691,9.6133,0.0000,1.0581,0.0020,1.0000,0.7839,0.0343,0.0000,0.0000,100.0000,100.0000
evaluation_results/18N_Bipartite/old_hpo1/Sparse,Evaluation,18,Bipartite,Sparse,0.1532,0.0747,0.7948,2.1367,1.1935,0.3902,2.9922,0.0000,0.8453,0.0215,1.0000,0.7535,0.1455,0.0000,0.0000,100.0000,100.0000
evaluation_results/18N_Bipartite/old_hpo1 copy/Dense,Evaluation,18,Bipartite,Dense,0.4369,0.3697,0.1857,4.9510,6.0495,0.1417,68.6621,0.0000,1.0382,0.0000,1.0000,0.7869,0.1209,0.0000,0.0000,100.0000,100.0000
evaluation_results/18N_Bipartite/old_hpo1 copy/Medium,Evaluation,18,Bipartite,Medium,0.2425,0.1967,0.1849,3.5319,3.1782,0.0729,9.9492,0.0000,1.1027,0.0020,1.0000,0.7839,0.0349,0.0000,0.0000,100.0000,100.0000
evaluation_results/18N_Bipartite/old_hpo1 copy/Sparse,Evaluation,18,Bipartite,Sparse,0.1005,0.0747,0.2221,1.7451,1.1935,0.2055,1.1934,0.0000,0.4046,0.2578,1.0000,0.4332,0.0981,0.0000,2.3438,100.0000,100.0000
evaluation_results/18N_Bipartite/old_hpo1 copy 2/Dense,Evaluation,18,Bipartite,Dense,0.4148,0.3697,0.0997,4.8176,6.0495,0.1430,58.0488,0.0000,1.0415,0.0000,1.0000,0.7869,0.1180,0.0000,0.0000,100.0000,100.0000
evaluation_results/18N_Bipartite/old_hpo1 copy 2/Medium,Evaluation,18,Bipartite,Medium,0.2484,0.1967,0.2300,3.6678,3.1782,0.1029,11.2383,0.0000,1.1116,0.0000,1.0000,0.7869,0.0448,0.0000,0.0000,100.0000,100.0000
evaluation_results/18N_Bipartite/old_hpo1 copy 2/Sparse,Evaluation,18,Bipartite,Sparse,0.1622,0.0747,0.8518,2.1893,1.1935,0.4177,3.7441,0.0000,0.9829,0.0098,1.0000,0.7716,0.1584,0.0000,0.0000,100.0000,100.0000
evaluation_results/18N_Bipartite/run_20250717_212628/Dense,Evaluation,18,Bipartite,Dense,0.2302,0.3697,0.8436,2.8390,6.0495,0.2171,10.1816,0.0000,1.0997,0.0000,1.0000,0.7869,0.2014,0.0000,0.0000,100.0000,100.0000
evaluation_results/18N_Bipartite/run_20250717_212628/Medium,Evaluation,18,Bipartite,Medium,0.4589,0.1967,1.2281,4.5011,3.1782,0.2192,77.4688,0.0000,1.0328,0.0000,1.0000,0.7869,0.1549,0.0000,0.0000,100.0000,100.0000
evaluation_results/18N_Bipartite/run_20250717_212628/Sparse,Evaluation,18,Bipartite,Sparse,0.3842,0.0747,0.8349,3.8300,1.1935,0.7249,46.0664,0.0000,1.0468,0.0000,1.0000,0.7869,0.3456,0.0000,0.0000,100.0000,100.0000
evaluation_results/18N_ER/run_20250717_121147/Dense,Evaluation,18,ER,Dense,0.6974,0.8255,0.6756,3.2322,2.1626,0.1855,276.8359,467.4900,0.6270,0.0000,0.0000,0.0000,0.0501,0.0000,0.0000,100.0000,100.0000
evaluation_results/18N_ER/run_20250717_121147/Medium,Evaluation,18,ER,Medium,0.4454,0.4428,0.0698,3.7452,3.6941,0.0005,72.0234,73.9410,0.0624,0.0000,0.0000,0.0000,0.0025,0.0000,0.0000,100.0000,100.0000
evaluation_results/18N_ER/run_20250717_121147/Sparse,Evaluation,18,ER,Sparse,0.3460,0.1497,1.1682,3.4542,1.8773,0.4057,33.5625,3.6400,0.6815,0.0000,0.1770,0.0245,0.1016,0.0000,0.0000,100.0000,100.0000
