run_id,run_type,num_nodes,graph_type,density_category,density_value,generated_density,density_diff,var_degree_dist_value,generated_var_degree_dist,var_degree_dist_diff,tri_value,generated_tri,tri_diff,bipartite_value,generated_bipartite,bipartite_diff,3_cycle_value,generated_3_cycle,3_cycle_diff,4_cycle_value,generated_4_cycle,4_cycle_diff,5_cycle_value,generated_5_cycle,5_cycle_diff,6_cycle_value,generated_6_cycle,6_cycle_diff,7_cycle_value,generated_7_cycle,7_cycle_diff,8_cycle_value,generated_8_cycle,8_cycle_diff,odd_cycles_total_value,generated_odd_cycles_total,odd_cycles_total_diff,even_cycles_total_value,generated_even_cycles_total,even_cycles_total_diff,total_cycles_value,generated_total_cycles,total_cycles_diff,odd_even_ratio_value,generated_odd_even_ratio,odd_even_ratio_diff,odd_total_ratio_value,generated_odd_total_ratio,odd_total_ratio_diff,memorized_adj_pct,memorized_iso_pct,diversity_adj_pct,diversity_iso_pct,name,nodes,graph_type_ds,density_category_ds,density_value_ds,var_degree_dist_value_ds,tri_value_ds,bipartite_value_ds,3_cycle_value_ds,4_cycle_value_ds,5_cycle_value_ds,6_cycle_value_ds,7_cycle_value_ds,8_cycle_value_ds,odd_cycles_total_value_ds,even_cycles_total_value_ds,total_cycles_value_ds,odd_even_ratio_value_ds,odd_total_ratio_value_ds
simulation_results/old/legacy_run_params_8N_Bipartite_Sparse_LR0.0036836339453192304_SIGMA0.7428271054083595_INIT0.205636617535598_NUMLAYERS4,Simulation,8.0,Bipartite,Sparse,0.2256,0.2261,0.0005000000000000004,1.0013,0.8932,-0.10810000000000008,0.0,0.2441,0.2441,100.0,77.3438,-22.6562,0.0,0.2441,0.2441,0.8346,1.0449,0.21029999999999993,0.0,0.1875,0.1875,0.1504,0.2012,0.050799999999999984,0.0,0.0352,0.0352,0.0,0.0078,0.0078,0.0,0.4668,0.4668,0.985,1.2539,0.26890000000000003,131.0,1.7207,-129.2793,0.0,78.1829,78.1829,0.0,0.1473,0.1473,0.5859,68.5547,99.6094,43.75,8.0N_Bipartite_Sparse,,,,,,,,,,,,,,,,,,
simulation_results/old/legacy_run_params_8N_Bipartite_Sparse_LR0.042174583320667126_SIGMA0.8175072163174264_INIT1.0464881642904231_NUMLAYERS1,Simulation,8.0,Bipartite,Sparse,0.2256,0.2311,0.005500000000000005,1.0013,0.8966,-0.10470000000000013,0.0,0.2812,0.2812,100.0,75.3906,-24.609399999999994,0.0,0.2812,0.2812,0.8346,1.1777,0.34309999999999996,0.0,0.2227,0.2227,0.1504,0.248,0.09759999999999999,0.0,0.0781,0.0781,0.0,0.0078,0.0078,0.0,0.582,0.582,0.985,1.4336,0.4486,131.0,2.0156,-128.9844,0.0,74.314,74.314,0.0,0.1567,0.1567,0.1953,66.2109,99.0234,45.7031,8.0N_Bipartite_Sparse,,,,,,,,,,,,,,,,,,
simulation_results/old/legacy_run_params_8N_Bipartite_Sparse_LR0.008104680980277149_SIGMA0.5060057247547819_INIT0.7277470256132488_MAXWEIGHT3,Simulation,8.0,Bipartite,Sparse,0.2256,0.2066,-0.01899999999999999,1.0013,0.8059,-0.19540000000000013,0.0,0.25,0.25,100.0,75.0,-25.0,0.0,0.25,0.25,0.8346,0.8008,-0.03380000000000005,0.0,0.2695,0.2695,0.1504,0.1621,0.011699999999999988,0.0,0.0586,0.0586,0.0,0.002,0.002,0.0,0.5781,0.5781,0.985,0.9648,-0.020199999999999996,131.0,1.543,-129.457,0.0,93.8011,93.8011,0.0,0.1667,0.1667,0.0,72.0703,94.9219,41.2109,8.0N_Bipartite_Sparse,,,,,,,,,,,,,,,,,,
simulation_results/8N_Bipartite/run_20250715_165138/Sparse,Simulation,8.0,Bipartite,Sparse,0.2256,0.2255,-9.999999999998899e-05,1.0013,0.9235,-0.07780000000000009,0.0,0.3867,0.3867,100.0,69.3359,-30.664100000000005,0.0,0.3867,0.3867,0.8346,1.2324,0.39779999999999993,0.0,0.4199,0.4199,0.1504,0.2402,0.08979999999999999,0.0,0.0801,0.0801,0.0,0.0059,0.0059,0.0,0.8867,0.8867,0.985,1.4785,0.49349999999999994,131.0,2.3652,-128.6348,0.0,103.5928,103.5928,0.0,0.1975,0.1975,0.1953,63.2812,99.0234,43.75,8.0N_Bipartite_Sparse,,,,,,,,,,,,,,,,,,
simulation_results/8N_Bipartite/run_20250715_165138/Dense,Simulation,8.0,Bipartite,Dense,0.311,0.2403,-0.07069999999999999,1.346,0.9357,-0.4103000000000001,0.0,0.584,0.584,100.0,63.0859,-36.9141,0.0,0.584,0.584,5.4368,1.4277,-4.0091,0.0,0.5,0.5,3.5019,0.3926,-3.1093,0.0,0.1953,0.1953,0.7893,0.0352,-0.7541,0.0,1.2793,1.2793,9.728,1.8555,-7.8725,2539.0,3.1348,-2535.8652,0.0,91.9659,91.9659,0.0,0.2229,0.2229,0.3906,45.3125,100.0,52.5391,8.0N_Bipartite_Dense,,,,,,,,,,,,,,,,,,
simulation_results/8N_Bipartite/run_20250709_142105/Sparse,Simulation,8.0,Bipartite,Sparse,0.2256,0.255,0.02940000000000001,1.0013,0.9991,-0.0022000000000000908,0.0,0.5703,0.5703,100.0,62.3047,-37.6953,0.0,0.5703,0.5703,0.8346,1.9004,1.0658,0.0,0.6523,0.6523,0.1504,0.5566,0.4062,0.0,0.2031,0.2031,0.0,0.0352,0.0352,0.0,1.4258,1.4258,0.985,2.4922,1.5072,131.0,3.918,-127.082,0.0,74.4046,74.4046,0.0,0.2115,0.2115,0.0,53.3203,99.8047,56.25,8.0N_Bipartite_Sparse,,,,,,,,,,,,,,,,,,
simulation_results/8N_Bipartite/run_20250714_104340/Sparse,Simulation,8.0,Bipartite,Sparse,0.2256,0.2618,0.03619999999999998,1.0013,1.0209,0.01959999999999984,0.0,0.7266,0.7266,100.0,54.8828,-45.1172,0.0,0.7266,0.7266,0.8346,2.0742,1.2395999999999998,0.0,0.7969,0.7969,0.1504,0.6133,0.4629,0.0,0.1992,0.1992,0.0,0.0078,0.0078,0.0,1.7227,1.7227,0.985,2.6953,1.7103000000000002,131.0,4.418,-126.582,0.0,88.1191,88.1191,0.0,0.2532,0.2532,0.1953,48.6328,99.0234,59.375,8.0N_Bipartite_Sparse,,,,,,,,,,,,,,,,,,
simulation_results/old/legacy_run_params_8N_Bipartite_Medium_LR0.003551614405932626_SIGMA1.3352557243570238_INIT0.8853914111571922_NUMLAYERS5,Simulation,8.0,Bipartite,Medium,0.2887,0.3008,0.0121,1.2809,1.0146,-0.2663,0.0,0.7852,0.7852,100.0,54.8828,-45.1172,0.0,0.7852,0.7852,4.0332,3.5918,-0.4413999999999998,0.0,1.1406,1.1406,2.2952,1.5117,-0.7834999999999999,0.0,0.4883,0.4883,0.4982,0.1875,-0.3107,0.0,2.4141,2.4141,6.8266,5.291,-1.5355999999999996,1850.0,7.7051,-1842.2949,0.0,62.7599,62.7599,0.0,0.2349,0.2349,0.1953,52.3438,99.6094,68.3594,8.0N_Bipartite_Medium,,,,,,,,,,,,,,,,,,
simulation_results/8N_Bipartite/run_20250715_165138/Medium,Simulation,8.0,Bipartite,Medium,0.2887,0.2704,-0.01830000000000004,1.2809,1.0115,-0.26939999999999986,0.0,0.8223,0.8223,100.0,52.1484,-47.8516,0.0,0.8223,0.8223,4.0332,2.2891,-1.7441,0.0,0.9434,0.9434,2.2952,0.7598,-1.5353999999999999,0.0,0.3164,0.3164,0.4982,0.0547,-0.4435,0.0,2.082,2.082,6.8266,3.1035,-3.7231,1850.0,5.1855,-1844.8145,0.0,94.0005,94.0005,0.0,0.2706,0.2706,0.0,51.9531,100.0,63.6719,8.0N_Bipartite_Medium,,,,,,,,,,,,,,,,,,
simulation_results/old/legacy_run_params_8N_Bipartite_Dense_LR0.0018973825577720538_SIGMA1.3106607895258173_INIT0.1942402847384792_NUMLAYERS3,Simulation,8.0,Bipartite,Dense,0.311,0.3164,0.005400000000000016,1.346,1.0183,-0.3277000000000001,0.0,0.8379,0.8379,100.0,50.7812,-49.2188,0.0,0.8379,0.8379,5.4368,4.1309,-1.3059000000000003,0.0,1.3359,1.3359,3.5019,1.6816,-1.8203,0.0,0.625,0.625,0.7893,0.2344,-0.5549,0.0,2.7988,2.7988,9.728,6.0469,-3.6811,2539.0,8.8457,-2530.1543,0.0,45.243,45.243,0.0,0.2398,0.2398,0.3906,43.5547,99.8047,73.2422,8.0N_Bipartite_Dense,,,,,,,,,,,,,,,,,,
simulation_results/8N_Bipartite/run_20250708_220824/Sparse,Simulation,8.0,Bipartite,Sparse,0.2256,0.2675,0.04190000000000002,1.0013,0.9923,-0.009000000000000119,0.0,0.7793,0.7793,100.0,50.5859,-49.4141,0.0,0.7793,0.7793,0.8346,2.3164,1.4817999999999998,0.0,0.9863,0.9863,0.1504,0.7754,0.625,0.0,0.3457,0.3457,0.0,0.0293,0.0293,0.0,2.1113,2.1113,0.985,3.1211,2.1361000000000003,131.0,5.2324,-125.7676,0.0,94.0138,94.0138,0.0,0.2774,0.2774,0.3906,45.5078,99.4141,62.8906,8.0N_Bipartite_Sparse,,,,,,,,,,,,,,,,,,
evaluation_results/8N_Bipartite/run_20250715_165138/Sparse,Evaluation,8.0,Bipartite,Sparse,0.2256,0.2539,0.02830000000000002,1.0013,1.061,0.059699999999999864,0.0,0.9766,0.9766,100.0,48.6328,-51.3672,0.0,0.9766,0.9766,0.8346,1.959,1.1244,0.0,0.8633,0.8633,0.1504,0.5742,0.42380000000000007,0.0,0.2266,0.2266,0.0,0.0371,0.0371,0.0,2.0664,2.0664,0.985,2.5703,1.5853000000000002,131.0,4.6367,-126.3633,0.0,123.2862,123.2862,0.0,0.3071,0.3071,0.1953,45.5078,100.0,59.7656,8.0N_Bipartite_Sparse,,,,,,,,,,,,,,,,,,
simulation_results/8N_Bipartite/run_20250714_104340/Medium,Simulation,8.0,Bipartite,Medium,0.2887,0.3144,0.0257,1.2809,1.0365,-0.24439999999999995,0.0,1.1973,1.1973,100.0,35.9375,-64.0625,0.0,1.1973,1.1973,4.0332,3.5059,-0.5272999999999999,0.0,1.4902,1.4902,2.2952,1.3613,-0.9339,0.0,0.6387,0.6387,0.4982,0.1289,-0.36929999999999996,0.0,3.3262,3.3262,6.8266,4.9961,-1.8304999999999998,1850.0,8.3223,-1841.6777,0.0,84.3815,84.3815,0.0,0.3354,0.3354,0.0,35.9375,99.8047,76.7578,8.0N_Bipartite_Medium,,,,,,,,,,,,,,,,,,
evaluation_results/8N_Bipartite/run_20250715_165138/Dense,Evaluation,8.0,Bipartite,Dense,0.311,0.2788,-0.032200000000000006,1.346,1.129,-0.21700000000000008,0.0,1.1172,1.1172,100.0,34.9609,-65.03909999999999,0.0,1.1172,1.1172,5.4368,2.3633,-3.0734999999999997,0.0,1.0273,1.0273,3.5019,0.6367,-2.8651999999999997,0.0,0.252,0.252,0.7893,0.0234,-0.7659,0.0,2.3965,2.3965,9.728,3.0234,-6.704599999999999,2539.0,5.4199,-2533.5801,0.0,129.2672,129.2672,0.0,0.3749,0.3749,0.0,25.7812,100.0,68.9453,8.0N_Bipartite_Dense,,,,,,,,,,,,,,,,,,
simulation_results/8N_Bipartite/run_20250714_104340/Dense,Simulation,8.0,Bipartite,Dense,0.311,0.3308,0.019799999999999984,1.346,1.0276,-0.3184,0.0,1.3027,1.3027,100.0,34.5703,-65.4297,0.0,1.3027,1.3027,5.4368,4.5449,-0.8918999999999997,0.0,1.9238,1.9238,3.5019,1.8672,-1.6347,0.0,0.8594,0.8594,0.7893,0.1758,-0.6134999999999999,0.0,4.0859,4.0859,9.728,6.5879,-3.1400999999999994,2539.0,10.6738,-2528.3262,0.0,47.3418,47.3418,0.0,0.3181,0.3181,0.0,29.2969,99.6094,78.3203,8.0N_Bipartite_Dense,,,,,,,,,,,,,,,,,,
evaluation_results/8N_Bipartite/run_20250714_104340/Sparse,Evaluation,8.0,Bipartite,Sparse,0.2256,0.3039,0.07830000000000001,1.0013,1.1832,0.18189999999999995,0.0,1.3926,1.3926,100.0,33.5938,-66.4062,0.0,1.3926,1.3926,0.8346,3.6543,2.8197,0.0,1.9297,1.9297,0.1504,1.4375,1.2871,0.0,0.6523,0.6523,0.0,0.1328,0.1328,0.0,3.9746,3.9746,0.985,5.2246,4.239599999999999,131.0,9.1992,-121.8008,0.0,88.3212,88.3212,0.0,0.3533,0.3533,0.0,28.125,99.8047,75.7812,8.0N_Bipartite_Sparse,,,,,,,,,,,,,,,,,,
evaluation_results/8N_Bipartite/run_20250709_142105/Sparse,Evaluation,8.0,Bipartite,Sparse,0.2256,0.2937,0.06810000000000002,1.0013,1.1556,0.15429999999999988,0.0,1.2949,1.2949,100.0,31.8359,-68.1641,0.0,1.2949,1.2949,0.8346,3.0293,2.1947,0.0,1.4453,1.4453,0.1504,1.0254,0.8750000000000001,0.0,0.3926,0.3926,0.0,0.0801,0.0801,0.0,3.1328,3.1328,0.985,4.1348,3.1498000000000004,131.0,7.2676,-123.7324,0.0,105.8837,105.8837,0.0,0.373,0.373,0.0,26.9531,100.0,75.5859,8.0N_Bipartite_Sparse,,,,,,,,,,,,,,,,,,
evaluation_results/8N_Bipartite/run_20250715_165138/Medium,Evaluation,8.0,Bipartite,Medium,0.2887,0.3066,0.01789999999999997,1.2809,1.0889,-0.19199999999999995,0.0,1.3672,1.3672,100.0,31.6406,-68.3594,0.0,1.3672,1.3672,4.0332,3.2695,-0.7637,0.0,1.6191,1.6191,2.2952,1.2363,-1.0589,0.0,0.5762,0.5762,0.4982,0.1836,-0.3146,0.0,3.5625,3.5625,6.8266,4.6895,-2.1371,1850.0,8.252,-1841.748,0.0,103.9351,103.9351,0.0,0.3711,0.3711,0.1953,31.0547,100.0,76.9531,8.0N_Bipartite_Medium,,,,,,,,,,,,,,,,,,
