run_type,num_nodes,dataset_name,model,num_samples,generated_bipartite_pct,dataset_bipartite_pct,generated_edge_prob,dataset_edge_prob,edge_prob_diff,generated_mean_degree,dataset_mean_degree,mean_degree_diff,generated_std_degree,dataset_std_degree,std_degree_diff,gen_avg_clustering_coeff,dataset_avg_clustering_coeff,clustering_coeff_diff,gen_avg_shortest_path,dataset_avg_shortest_path,avg_shortest_path_diff
Evaluation,8,8N_Bipartite_Dense,legacy_run_params_8N_Bipartite_Dense_LR0.0018973825577720538_SIGMA1.3106607895258173_INIT0.1942402847384792_NUMLAYERS3,512,12.8906,100.0000,0.3624,0.3110,0.0514,2.5371,2.1772,0.3599,1.0926,1.1602,0.0676,0.2572,0.0000,0.2572,1.8105,1.9132,0.1026
Evaluation,8,8N_Bipartite_Dense,Dense,512,14.6484,100.0000,0.3820,0.3110,0.0709,2.6738,2.1772,0.4966,1.0550,1.1602,0.1052,0.2597,0.0000,0.2597,1.7991,1.9132,0.1140
Evaluation,8,8N_Bipartite_Dense,Dense,512,16.2109,100.0000,0.3742,0.3110,0.0631,2.6191,2.1772,0.4419,1.0552,1.1602,0.1050,0.2467,0.0000,0.2467,1.8146,1.9132,0.0986
Evaluation,8,8N_Bipartite_Dense,Dense,512,19.5312,100.0000,0.3540,0.3110,0.0430,2.4780,2.1772,0.3008,1.0370,1.1602,0.1232,0.2285,0.0000,0.2285,1.8429,1.9132,0.0703
Evaluation,8,8N_Bipartite_Dense,Dense,512,34.9609,100.0000,0.2788,0.3110,0.0322,1.9517,2.1772,0.2255,1.0351,1.1602,0.1250,0.1643,0.0000,0.1643,1.8971,1.9132,0.0161
Simulation,8,8N_Bipartite_Dense,Dense,512,24.6094,100.0000,0.3511,0.3110,0.0401,2.4580,2.1772,0.2808,1.0091,1.1602,0.1511,0.1846,0.0000,0.1846,1.8545,1.9132,0.0587
Simulation,8,8N_Bipartite_Dense,Dense,512,29.6875,100.0000,0.3503,0.3110,0.0393,2.4521,2.1772,0.2749,1.0101,1.1602,0.1501,0.1723,0.0000,0.1723,1.8617,1.9132,0.0514
Simulation,8,8N_Bipartite_Dense,Dense,512,34.5703,100.0000,0.3308,0.3110,0.0197,2.3154,2.1772,0.1382,0.9853,1.1602,0.1749,0.1548,0.0000,0.1548,1.8932,1.9132,0.0199
Simulation,8,8N_Bipartite_Dense,legacy_run_params_8N_Bipartite_Dense_LR0.0018973825577720538_SIGMA1.3106607895258173_INIT0.1942402847384792_NUMLAYERS3,512,50.7812,100.0000,0.3164,0.3110,0.0054,2.2148,2.1772,0.0376,0.9797,1.1602,0.1805,0.1043,0.0000,0.1043,1.9156,1.9132,0.0025
Simulation,8,8N_Bipartite_Dense,Dense,512,63.0859,100.0000,0.2403,0.3110,0.0707,1.6821,2.1772,0.4951,0.9349,1.1602,0.2253,0.0876,0.0000,0.0876,1.9243,1.9132,0.0111
Evaluation,8,8N_Bipartite_Medium,legacy_run_params_8N_Bipartite_Medium_LR0.003551614405932626_SIGMA1.3352557243570238_INIT0.8853914111571922_NUMLAYERS5,512,13.0859,100.0000,0.3638,0.2887,0.0751,2.5469,2.0212,0.5257,1.0976,1.1318,0.0342,0.2712,0.0000,0.2712,1.8047,1.9038,0.0991
Evaluation,8,8N_Bipartite_Medium,Medium,512,14.2578,100.0000,0.3707,0.2887,0.0819,2.5947,2.0212,0.5735,1.0762,1.1318,0.0556,0.2635,0.0000,0.2635,1.8238,1.9038,0.0800
Evaluation,8,8N_Bipartite_Medium,Medium,512,17.5781,100.0000,0.3732,0.2887,0.0844,2.6123,2.0212,0.5911,1.0870,1.1318,0.0447,0.2535,0.0000,0.2535,1.8176,1.9038,0.0862
Evaluation,8,8N_Bipartite_Medium,Medium,512,17.7734,100.0000,0.3567,0.2887,0.0679,2.4966,2.0212,0.4754,1.0586,1.1318,0.0732,0.2514,0.0000,0.2514,1.8344,1.9038,0.0694
Evaluation,8,8N_Bipartite_Medium,Medium,512,31.6406,100.0000,0.3066,0.2887,0.0179,2.1465,2.0212,0.1253,1.0120,1.1318,0.1198,0.1792,0.0000,0.1792,1.9007,1.9038,0.0030
Simulation,8,8N_Bipartite_Medium,legacy_run_params_8N_Bipartite_Medium_LR0.012529922603919507_SIGMA1.4402562057733146_INIT1.9680596739001786_MAX_WEIGHT5,512,2.5391,100.0000,0.5331,0.2887,0.2444,3.7319,2.0212,1.7107,1.0608,1.1318,0.0709,0.3644,0.0000,0.3644,1.5033,1.9038,0.4005
Simulation,8,8N_Bipartite_Medium,Medium,512,29.2969,100.0000,0.3324,0.2887,0.0436,2.3267,2.0212,0.3054,1.0054,1.1318,0.1263,0.1722,0.0000,0.1722,1.8683,1.9038,0.0355
Simulation,8,8N_Bipartite_Medium,Medium,512,30.8594,100.0000,0.3313,0.2887,0.0426,2.3193,2.0212,0.2981,1.0167,1.1318,0.1150,0.1796,0.0000,0.1796,1.8850,1.9038,0.0188
Simulation,8,8N_Bipartite_Medium,Medium,512,35.9375,100.0000,0.3144,0.2887,0.0256,2.2007,2.0212,0.1795,0.9896,1.1318,0.1422,0.1587,0.0000,0.1587,1.9214,1.9038,0.0176
Simulation,8,8N_Bipartite_Medium,Medium,512,52.1484,100.0000,0.2704,0.2887,0.0184,1.8926,2.0212,0.1286,0.9722,1.1318,0.1596,0.1153,0.0000,0.1153,1.9013,1.9038,0.0025
