run_id,run_type,dataset_name,num_nodes,model,num_samples,generated_bipartite_pct,dataset_bipartite_pct,generated_edge_prob,dataset_edge_prob,generated_mean_degree,dataset_mean_degree,generated_std_degree,dataset_std_degree,gen_avg_clustering_coeff,dataset_avg_clustering_coeff,gen_avg_shortest_path,dataset_avg_shortest_path,edge_prob_diff,mean_degree_diff,std_degree_diff,clustering_coeff_diff,avg_shortest_path_diff
evaluation_results/10N_Bipartite/old_hpo1/Dense,Evaluation,10N_Bipartite_Dense,10,Dense,512,0.1953,100,0.3928,0.347,3.5348,3.1229,1.3817,1.4859,0.3759,0,1.7316,1.8173,0.0458,0.4119,0.1041,0.3759,0.0857
evaluation_results/10N_Bipartite/old_hpo1/Medium,Evaluation,10N_Bipartite_Medium,10,Medium,512,43.1641,100,0.2421,0.2307,2.1789,2.076,1.1213,1.3096,0.1067,0,2.115,2.1109,0.0114,0.1029,0.1883,0.1067,0.0041
evaluation_results/10N_Bipartite/old_hpo1/Sparse,Evaluation,10N_Bipartite_Sparse,10,Sparse,256,65.2344,100,0.1815,0.1771,1.6336,1.5937,1.0247,1.0706,0.0544,0,2.1194,2.1652,0.0044,0.0399,0.0458,0.0544,0.0458
evaluation_results/10N_Bipartite/old_hpo2/Dense,Evaluation,10N_Bipartite_Dense,10,Dense,512,0.3906,100,0.3967,0.347,3.5707,3.1229,1.3676,1.4859,0.3678,0,1.73,1.8173,0.0498,0.4478,0.1182,0.3678,0.0873
evaluation_results/10N_Bipartite/old_hpo2/Medium,Evaluation,10N_Bipartite_Medium,10,Medium,512,37.5,100,0.2446,0.2307,2.2016,2.076,1.1437,1.3096,0.1127,0,2.1115,2.1109,0.014,0.1256,0.1659,0.1127,0.0006
evaluation_results/10N_Bipartite/old_hpo2/Sparse,Evaluation,10N_Bipartite_Sparse,10,Sparse,512,51.7578,100,0.2013,0.1771,1.8113,1.5937,1.0588,1.0706,0.0791,0,2.1051,2.1652,0.0242,0.2177,0.0118,0.0791,0.0601
evaluation_results/10N_Bipartite/old_hpo3/Dense,Evaluation,10N_Bipartite_Dense,10,Dense,512,0.3906,100,0.4008,0.347,3.6074,3.1229,1.3866,1.4859,0.3754,0,1.7308,1.8173,0.0538,0.4845,0.0992,0.3754,0.0864
evaluation_results/10N_Bipartite/old_hpo3/Medium,Evaluation,10N_Bipartite_Medium,10,Medium,512,39.2578,100,0.2404,0.2307,2.1637,2.076,1.1484,1.3096,0.107,0,2.0903,2.1109,0.0097,0.0877,0.1612,0.107,0.0206
evaluation_results/10N_Bipartite/old_hpo3/Sparse,Evaluation,10N_Bipartite_Sparse,10,Sparse,512,47.0703,100,0.2073,0.1771,1.866,1.5937,1.0829,1.0706,0.0898,0,2.1285,2.1652,0.0303,0.2724,0.0124,0.0898,0.0367
evaluation_results/10N_Bipartite/run_20250704_125454/Dense,Evaluation,10N_Bipartite_Dense,10,Dense,512,0.7812,100,0.3688,0.347,3.3195,3.1229,1.3098,1.4859,0.3406,0,1.8088,1.8173,0.0218,0.1966,0.176,0.3406,0.0084
evaluation_results/10N_Bipartite/run_20250704_125454/Medium,Evaluation,10N_Bipartite_Medium,10,Medium,512,0,100,0.4114,0.2307,3.7027,2.076,1.4154,1.3096,0.4067,0,1.7037,2.1109,0.1807,1.6267,0.1058,0.4067,0.4072
evaluation_results/10N_Bipartite/run_20250704_125454/Sparse,Evaluation,10N_Bipartite_Sparse,10,Sparse,512,0,100,0.4563,0.1771,4.1062,1.5937,1.3961,1.0706,0.4314,0,1.6153,2.1652,0.2792,2.5126,0.3255,0.4314,0.5499
evaluation_results/10N_Bipartite/run_20250716_095712/Dense,Evaluation,10N_Bipartite_Dense,10,Dense,512,12.3047,100,0.2871,0.347,2.5836,3.1229,1.2082,1.4859,0.2022,0,2.0197,1.8173,0.0599,0.5393,0.2777,0.2022,0.2024
evaluation_results/10N_Bipartite/run_20250716_095712/Medium,Evaluation,10N_Bipartite_Medium,10,Medium,512,33.3984,100,0.2154,0.2307,1.9387,2.076,1.1205,1.3096,0.1316,0,2.0684,2.1109,0.0153,0.1373,0.1891,0.1316,0.0425
evaluation_results/10N_Bipartite/run_20250716_095712/Sparse,Evaluation,10N_Bipartite_Sparse,10,Sparse,512,15.2344,100,0.2757,0.1771,2.4816,1.5937,1.2131,1.0706,0.2027,0,2.0408,2.1652,0.0987,0.888,0.1426,0.2027,0.1244
evaluation_results/10N_ER/run_20250704_103803/Dense,Evaluation,10N_ER_Dense,10,Dense,512,0,0,0.6283,0.7884,5.6547,7.096,1.2833,1.2088,0.6306,0.7887,1.3781,1.2116,0.1601,1.4413,0.0746,0.1581,0.1666
evaluation_results/10N_ER/run_20250704_103803/Medium,Evaluation,10N_ER_Medium,10,Medium,512,0,0.2,0.485,0.438,4.3652,3.9424,1.2985,1.4627,0.4708,0.4242,1.57,1.6505,0.047,0.4228,0.1642,0.0466,0.0805
evaluation_results/10N_ER/run_20250704_103803/Sparse,Evaluation,10N_ER_Sparse,10,Sparse,512,0,33.8,0.5,0.1919,4.5004,1.7268,1.3368,1.1545,0.4979,0.1196,1.5457,2.1311,0.3082,2.7736,0.1823,0.3784,0.5854
evaluation_results/10N_ER/run_20250716_103917/Dense,Evaluation,10N_ER_Dense,10,Dense,512,0,0,0.565,0.7884,5.0848,7.096,1.2993,1.2088,0.5611,0.7887,1.4549,1.2116,0.2235,2.0112,0.0905,0.2277,0.2434
evaluation_results/10N_ER/run_20250716_103917/Medium,Evaluation,10N_ER_Medium,10,Medium,512,8.0078,0.2,0.2998,0.438,2.698,3.9424,1.1902,1.4627,0.2453,0.4242,2.0023,1.6505,0.1383,1.2444,0.2725,0.1789,0.3518
evaluation_results/10N_ER/run_20250716_103917/Sparse,Evaluation,10N_ER_Sparse,10,Sparse,512,17.9688,33.8,0.2476,0.1919,2.2285,1.7268,1.1688,1.1545,0.1807,0.1196,2.0893,2.1311,0.0557,0.5017,0.0142,0.0611,0.0419
evaluation_results/14N_Bipartite/run_20250716_213333/Dense,Evaluation,14N_Bipartite_Dense,14,Dense,512,0,100,0.4961,0.3727,6.4489,4.8445,1.9107,2.0946,0.4962,0,1.5178,1.7407,0.1234,1.6044,0.1838,0.4962,0.2229
evaluation_results/14N_Bipartite/run_20250716_213333/Medium,Evaluation,14N_Bipartite_Medium,14,Medium,512,0.7812,100,0.2471,0.2084,3.2118,2.7096,1.4582,1.6521,0.2193,0,2.1402,2.2651,0.0386,0.5022,0.1939,0.2193,0.1249
