"Qubit","T1 (us)","T2 (us)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","RX error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","CZ error ","RZZ error ","Gate time (ns)","Operational"
"0","213.67831328989078","171.53035206379013","0.0263671875","0.03125","0.021484375","2600","0.00016855856438510196","0.00016855856438510196","0","0.00016855856438510196","0.00016855856438510196","0_1:0.0026487002730533893","0_1:0.02024999999999999","0_1:68","true"
"1","243.2006086324176","343.9598535552747","0.5","1","0","2600","0.0001770378390428115","0.0001770378390428115","0","0.0001770378390428115","0.0001770378390428115","1_2:0.001808796265190038;1_0:0.0026487002730533893","1_2:0.00223801008889557;1_0:0.02024999999999999","1_2:68;1_0:68","true"
"2","169.47220781910988","67.28986261218058","0.03759765625","0.02978515625","0.04541015625","2600","0.00015863621970468416","0.00015863621970468416","0","0.00015863621970468416","0.00015863621970468416","2_1:0.001808796265190038;2_3:0.0014584491103850905","2_1:0.00223801008889557;2_3:0.0028336816710651247","2_1:68;2_3:68","true"
"3","303.84729849887634","75.66327588527254","0.049072265625","0.01123046875","0.0869140625","2600","0.00020271079697046864","0.00020271079697046864","0","0.00020271079697046864","0.00020271079697046864","3_16:0.0017148923925528747;3_2:0.0014584491103850905;3_4:0.0018080210247001516","3_16:0.0027392659397238728;3_2:0.0028336816710651247;3_4:0.0024716941634242984","3_16:68;3_2:68;3_4:68","true"
"4","187.88308589544096","69.28070915799354","0.0234375","0.041015625","0.005859375","2600","0.00028983751313630725","0.00028983751313630725","0","0.00028983751313630725","0.00028983751313630725","4_3:0.0018080210247001516;4_5:0.0026599804885787948","4_3:0.0024716941634242984;4_5:0.0029402581396359706","4_3:68;4_5:68","true"
"5","204.6550379226876","67.49534802460522","0.005615234375","0.0087890625","0.00244140625","2600","0.0002211095498952811","0.0002211095498952811","0","0.0002211095498952811","0.0002211095498952811","5_6:0.001662726524795155;5_4:0.0026599804885787948","5_6:0.003969390761931868;5_4:0.0029402581396359706","5_6:68;5_4:68","true"
"6","310.1659189573687","100.57943563683905","0.004638671875","0.00634765625","0.0029296875","2600","0.00019220989733563523","0.00019220989733563523","0","0.00019220989733563523","0.00019220989733563523","6_5:0.001662726524795155;6_7:0.0016608387196154761","6_5:0.003969390761931868;6_7:0.0036835686598281903","6_5:68;6_7:68","true"
"7","283.25428730750093","70.48676691678887","0.023193359375","0.02099609375","0.025390625","2600","0.0002094664983095018","0.0002094664983095018","0","0.0002094664983095018","0.0002094664983095018","7_17:0.0020750962511145166;7_6:0.0016608387196154761;7_8:0.0018999830775647542","7_17:0.002136606634816157;7_6:0.0036835686598281903;7_8:0.00434095318731037","7_17:68;7_6:68;7_8:68","true"
"8","216.51407251620398","265.69161770444197","0.003662109375","0.00732421875","0","2600","0.0001691938705369787","0.0001691938705369787","0","0.0001691938705369787","0.0001691938705369787","8_9:0.0012367766217190046;8_7:0.0018999830775647542","8_9:0.006710750750325428;8_7:0.00434095318731037","8_9:68;8_7:68","true"
"9","396.36188526192973","462.48145847834826","0.002685546875","0.00439453125","0.0009765625","2600","0.00018654386244023103","0.00018654386244023103","0","0.00018654386244023103","0.00018654386244023103","9_8:0.0012367766217190046;9_10:0.0217100714611973","9_8:0.006710750750325428;9_10:0.05816043567855961","9_8:68;9_10:68","true"
"10","233.70602595788628","325.7992719025048","0.018310546875","0.02978515625","0.0068359375","2600","0.002164813561602807","0.002164813561602807","0","0.002164813561602807","0.002164813561602807","10_9:0.0217100714611973;10_11:0.06479570424109377","10_9:0.05816043567855961;10_11:0.04885011588710039","10_9:68;10_11:68","true"
"11","321.55199645057417","29.340963451308024","0.005859375","0.01123046875","0.00048828125","2600","0.00019268094528851113","0.00019268094528851113","0","0.00019268094528851113","0.00019268094528851113","11_18:0.001748885446964693;11_10:0.06479570424109377;11_12:0.0029748046347743418","11_18:0.0019487595147426318;11_10:0.04885011588710039;11_12:0.0040543203992547405","11_18:68;11_10:68;11_12:68","true"
"12","301.9390391685148","55.01843428817831","0.00634765625","0.0107421875","0.001953125","2600","0.00015114432430873636","0.00015114432430873636","0","0.00015114432430873636","0.00015114432430873636","12_13:0.003980828688003146;12_11:0.0029748046347743418","12_13:0.006892329782290846;12_11:0.0040543203992547405","12_13:68;12_11:68","true"
"13","416.68988814910495","268.6502981447996","0.0087890625","0.0166015625","0.0009765625","2600","0.00040965257758977705","0.00040965257758977705","0","0.00040965257758977705","0.00040965257758977705","13_12:0.003980828688003146;13_14:0.0017881040073611798","13_12:0.006892329782290846;13_14:0.002135654392996428","13_12:68;13_14:68","true"
"14","242.9055128932768","253.93934944874235","0.00390625","0.00634765625","0.00146484375","2600","0.0001506201389415388","0.0001506201389415388","0","0.0001506201389415388","0.0001506201389415388","14_15:0.0014961292228190537;14_13:0.0017881040073611798","14_15:0.003646408642180743;14_13:0.002135654392996428","14_15:68;14_13:68","true"
